ID,NAME (vertical file),AMNH OPAC,LOC/VIAF with URI,ALT NAME 3,DATES,DATE end,Date Note,SITES,PURPOSE,PERSONNEL,DEPARTMENT,SPONSORS,OTHERS,Documentation Materials,Publications,Field11,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000011,Wortman Expeditions,,,,1891 ,-1899,Wortman left the Museum in 1899 to join the Cernegie Museum in Pittsburgh.,"Northern New Mexico,  Wyoming; Utah; Nebraska; Colorado; Northern Texas.",To collect living and fossil mammals,"Wortman, J.L., leader; Granger, Walter, sci.; Gidley, J.W., sci. (1899-1900)",Department of Mammalian Paleontology.,,,"AMNH Library Vertical Files;  J.L. Wortman - A Biographical Sketch by Henry Fairfield Osborne in Natural History, Vol. XXVI, No. 6, 1926, pp. 652-653.","AMNH Annual Report No. 24, p. 11. Bulletin , V. 4, 1892, pp.81-147 AMNH Annual Report No. 28, 1896, p. 17; Bulletin of the AMNH, Vol. VIII, pp. 241-258; AMNH Annual Report No. 31, 1899, p. 19; American Museum Journal, I, 9-10, p. 140-145, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000012,Explore21 Expedition to Papua New Guinea.,,,,2014,,September for 7 weeks.,Papua New Guinea (interior).,"Intensive surveys of birds, mammals, reptiles and amphibians, and their viruses and parasites, and to collect specimens, and influence public health policies..","Christopher Rexworthy, Paul Sweet, Brett Benz, Neil Duncan; and 3 Papua New Guinea field biologists.","Departments of Herpetology, Ornithology and Mammalogy.","Kathryn P. and Thomas L. Kempner, and Linda R. and William E. Macaulay.",,AMNH Library Vertical File,"AMNH Rotunda, Winter 2015, Vol 40 No. 1, pp. 10-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000013,Chapman Field Trip to Texas,,,,1891,,March,Corpus Christi (Texas),To collect mammals and birds and other animals (200 specimens),"Chapman, Frank M. leader","Department of Mammals, Birds, and Reptiles","Department of Mammals, Birds and Reptiles",,AMNH Library Vetrtical File.,"AMNH Annual Report No. 23, 1892, p. 10; Autobiography of of A Bird-Lover, by FMC, 1933, pp 93-99. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000014,Illustrated American Expedition,Illustrated American Expedition to the San Juan Region (1892),,,1892,,,"San Juan region (Colo.), New Mexico",To explore cliff dwellings and collect representative mammals and birds.,"Rowley, Charles P., leader",,"Illustrated American Publishing Co. and others, including the AMNH.",,"AMNH Library Vetrtical File.  This contains further details, some of which are somewhat confusing and contradictory.","AMNH Annual Report No. 23, 1892, pp.7 and 10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000015,Richardson Expedition to Florida,Richardson Expedition to Florida (1892),,,1892,,,"Brevard County, Florida",To collect specimens for the Departments of Mammals and Birds.,"Richardson, Jenness, leader",Departments of Mammals and Birds (and Taxidermy).,,,AMNH Library Vetrtical File.,"AMNH Annual Report No. 24, 1892, p.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000016,Mearns Expedition to Minnesota,,,,1892,,,Minnesota,"To collect specimens (360 specimens?), for the Dept. of Mammals."," E. A.Mearns,",Dept. Mammals and Birds.,,, Added AMNH L:ibrary Vertical File, Mammal Dept. Expedition List.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000017,Henry Villard Scientific Expedition to Peru and Bolivia.,Villard-Bandelier Expedition to Peru and Bolivia.,,,1892,-1903,,Pachacamac (Peru) Surco (Peru); Bolivia; Chile; Lake Titicaca,Study of the Inca Civilization,"Bandelier, Adolph F., leader",Department of Archaeology and Ethnography.,"Villard, Henry; AMNH (starting in 1894).",,"AMNH Library Vertical Files.Scrapbook 34; 42; 43.  The American Anthorologist, vol. V. pp. 273-276: The Villard-Bandelier Expedition. July 1892.","AMNH Annual Report No. 24, 1892, p. 12; No. 26, 1894, p. 9; Kennedy, p. 136 (?); AR No. 30, 1898, p. 14; AR 1899, p.15; AR 1899, p. 15.  Bandelier, A.F. and E. L. Hewett. Indians of the Rio Grande Valley, Albuquerque: Univ. of New Mexico Press, l937, pp. 247-254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000018,Rocky Mountains Expedition II,Wortman Expedition to the Rocky Mountains ,,,1892  ,Feb.-Aug. ,See also later expeditions - 1890's,"Puerco beds, N.W. New Mexico; Then Laramie beds of Wyoming, to S. Dakota.","To collect fossil mammals (0ver 1,000 specimens) in order to present a historical development of the evolution of mammals in N. Am.","Wortman, J.L., leader; Peterson, O.A., sci.; Mr. Gidley; Raffierty, Thomas, sci.",Department of Mammalian Palaeontology,,,"Not on Mammal Dept. (partial) Exped list, but added AMNH Library Vertical file/gwn, 1.9.14.","AMNH Annual Report No. 24, 1892, p. 11; Bulletin of the AMNH, Vol. VI, 1894, pp.199-228; Bulletin of the AMNH, Vol. VlI, 1895, p. 1-70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000019,Chapman Expedition to Cuba,,,, 1892,March-April,,"Trinidad, Cuba","To collect specimens for Departments of Mammals, Birds, and Reptiles, and Fishes","Chapman Frank M., leader","Departments of Mammals, Birds, and Reptiles, and Fishes",,,AMNH Library Vertical Files.,"AMNH Annual Report No. 24, 1892, p. 65; Bulletin of the AMNH, Vol. IV, 1892, p. 279, pp.279-330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000020,Wortman Expedition to Rocky Mountains,Wortman Expedition to the Rocky Mountains ,,,1893 , 1894; 1895 +,See also 1892 expedition.,"Bridger Basin, Wyoming",To collect fossil mammals,"Wortman, J.L., leader",Departman of Mammalian Palaeontology; in 1895 name changed to Vertebrate Palaeontology in 1894.,,,See 1892 for AMNH Library Vertical file.,"AMNH Annual Report 1893, p. 13;  1894, #26, p. 13,14;  1895, p. 16; PC Authority File",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
