ID,NAME (vertical file),AMNH OPAC,LOC/VIAF with URI,ALT NAME 3,DATES,DATE end,Date Note,SITES,PURPOSE,PERSONNEL,DEPARTMENT,SPONSORS,OTHERS,Documentation Materials,Publications,Field11,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000105,Third African Expedition (British East Africa).,African Expedition of the American Museum of Natural History (3rd : 1912-1913),,,1912,,,British East Africa (Cheringani Range),"To collect large game animals, especially black rhinoceros","Rainsford, William S., leader",,friends of the AMNH,,,"AR, No. 44, 1912, p. 19; American Museum Journal, XIII, 7,Nov. 1913, pp. 299-309; Rainsford, W.S., The Story of a Varied Life. Garden City, Doubleday, 1922; Allen, J.A., ""Mammals from British East Africa"", Bulletin of the AMNH., Vol. XXXIII, Art. XXVI, pp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000106,Vertebrate Palaeontology Expedition,,,,1912,,,"Cretaceous beds of Red Deer River, Alberta, Canada, New Mexico, Wyoming, Nebraska",To collect dinosaur bones,"Brown, Barnum, leader (Canada); Granger, Walter and  Thomson, Albert, leaders (N.M., WY, and Nebraska).",,,,AMNH Library Vertical File. photos taken,"AMNH Annual Report No. 44, 1912, p. 17, 51-52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000107,South Georgia Island Expedition,South Georgia Island Expedition of the American Museum of Natural History (1912-1913),,,1912 ,-1913,,"South Georgia Island (Antarctic) on board ""Daisy""","To secure specimens of Sea Elephants, Sea Leopards, King Penguins","Murphy, Robert C., leader (at that time working for the Brooklyn Institute of Arts and Sciences)",,"Under joint auspices and In cooperation with Brooklyn Institute of Art and Sciences; and through the contribution of James, Arthur Curtiss.",,"AMNH Library Vertical File.  photos taken.   P.C. 2 Authority File; Special Film collection Catalog: ""Bottom of the World""; Murphy, Logbook for Grace New York Macmillan 1947; Murphy, ""Logbook for Grace"", NY Macmillan 1947; Murphy, ""The Penguins of South Georgia"", Science Bulletin Vol. 2, No. 5, Museum of the Brooklyn Institute of Arts and Sciences. ","AR, No. 44,  for 1912, p. 18; No. 45, for 1913, p. 23 and   pp.  54-55; American Museum Journal, vol XII , Oct, 1912, p. 224; XIII, January, Notes, p. 47; and  Oct. 1913, pp. 243-259; XIV, May, 1914, p. 216.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000108,Brewster-Sanford South American Expedition,Brewster-Sanford Expedition of the American Museum of Natural History (1912-1917),Brewster-Sanford Expedition of the American Museum of Natural History (1912-1917); http://viaf.org/viaf/157529779,,1912, -1917,,"Coast of South America (Lima, Peru, Lake Junin - Andes, Lake Titicaca, and  Falkland Islands, and Cape Horn, and other islands including Cuba.",To collect oceanic and shore birds,"Sanford, Leonard C., leader; Beck, Rollo H., leader",,"Brewster, Frederick, F.",,AMNH Library Vertical File.  Photos taken.  P.C. 2 Authority File.,"AMNH Annual Report No. 44, 1912, p. 18; No, 45 or the year 1913, p. No. 46, 1914, p. 26, No. 47, 1915, p. 70; AMJ, #XIII, Oct. 2013, p. 285; AMJ,#XVII, Oct. 1917, P.419;  XVIII, 1, Jan., 1918, pp. 5-24 and Feb, pp.111-120.  Murphy, R.C., ""Oceanic Birds of South America"", New York, AMNH, 1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000109,Atlantic Shore Life Expeditions,Atlantic Shore Life Expeditions (1913),,,1913,,,Nahaut (Mass.); Passamaquoddy Bay; Cuba; Puerto Rico,"To collect and study invertebrates, including their study for purposes of distribution and evolution.","Miner, Roy W., leader for Passamaquoddy Bay; Lutz, Frank E., leader for Cuba; Leng, leader  in Fla and  Cuba; Crampton, Henry E., leader for Puerto Rico, Mueller, H.",Dept. Invertebrate Zoology.,New York Entomological Society.  NY Acadmy of Sciences for P.R.,,AMNH Library Vertical File.  See also 1911 expedition.,"AMNH Annual Report No. 45, 1913, p. 25, 63-65; AMNH Journal, Oct. 1913, p. 288, March,1914, pp 99--106.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000110,Borden Expedition,,,,1913,,,Alaskan Coast,"To search for bowhead whales and other sea mammals. 4,000 feet of films of life on Seal Islands also taken.","Andrews, Roy C., leader, photog.",,"Borden, John; U.S. Bureau of Fisheries",,AMNH Library Vertical File.,"AMNH Annual Report No. 45, 1913, p. 23; Andrew, Whale Hunting with Gun and Camera, New York, Appleton, 1928.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000111,Brewster-Sanford Expedition to South America,? Brewster-Sanford Expedition of the American Museum of Natural History (1912-1917),,,1913,,,"Lima, Peru; Lake Junin (Andes); Lake Titicaca",To collect birds,"Beck, Rollo H., leader",photos taken,,,,"AMNH Annual Report No. 45, 1913, p. 55; P.C. 2 Authority File",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000112,Hovey Expedition to Central America,,,,1913,,January-February.,"Panama, Costa Rica",To study and collect geological and archaeological  data and take photographs.,"Hovey, E.O., leader",Department of Geology and Invertebrate Palaeontology.,The Director's (Lucas) Fund.,,AMNH Library Vertical File.  Photos taken.,"AMNH Ann. Rept. #45 for 1913, p. 50;  American Museum Journal, XIII, 3, March 1913, p. 149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000113,Paleolithic Study Trip to Europe,,,,1913,,,"Europe, including Puente Viesgo, Spain",To excavate and study prehistoric caves and make drawings for palaeological exhibit,"Nelson, N.C., leader",Dept. of Anthropolgy.,,,AMNH Library Vertical File.,"AMNH Annual Report No. 45, 1913, p. 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000114,South America Ornithology Expeditions,South American Ornithology Expedition (1912-1913),,,1913,,January +,"Bogota (Colombia), Northeastern Venezuela; British Guiana, Ecuador",To collect mammals and birds and make ornithological survey of South America,"Chapman, Frank , leader; Richardson, Wm., sci.; Fuertes, Louis Agassiz,, artist and photographer, and others",Dept. Mammalogy and Ornithology.,"Dodge, Cleveland H.",,AMNH Library Vertical File.,"AMNH Annual Report No. 45, for 1913, p. 25, 53-54; American Museum Journal, XIII,Jan. p. 47; April,  pp. 183-84; May, p. 239; Oct. pp. 239 and 285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000115,Vertebrate Palaeontology Expeditions,,,,1913,,,"Alberta, Canada; Western Nebraska; New Mexico; Wyoming",To gather dinosaur and mammal fossils and skeletons,"Brown, Barnum, leader; Thomson, Albert, leader; Granger, Walter, leader; Stein, William, leader",Dept. of Vertebrate Palaeontology.,,,AMNH Library Vertical File.,"AMNH Annual Report No. 45, 1913, p. 23/24, 57; A.M. Journal, 1913, October pp. 286-87.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000116,Barnes-Kearton Expedition to Central Africa,,,,1913 ,-1914,,"Central Africa, traverse from East Coast to West Coast.",To photograph and take motion pictures of animal life.,"Barnes, James of New York, leader; Kearton, Cherry of London, leader, noted wildlife photographers.",Under auspices of AMNH.,,,AMNH Library Vertical File.  Photos taken.,"American Museum Journal, XIII, 3, March 1913, p. 150; XIV, May, p. 215, and Dec. p. 312. AMNH Annual Report No. 45 for year 1913, p. 27,  and No. 46, 1914, p. 29; Barnes, J. Through Central Africa From Coast to Coast. N.Y., Appleton, 1915.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000117,Crocker Land Expedition,Crocker Land Expedition (1913-1917),Crocker Land Expedition (1913-1917); http://viaf.org/viaf/132550894,Crocker Land Expedition (Arctic).,1913, -1917,,"Arctic (Western and Northern Greenland, Smith Sound, North Star Bay","To search for and to explore ""Crocker Land"" (island sighted by Stefansson), and other arctic areas from geographical and anthropological views","Macmillan, Donald B., ethnologist, leader; Hovey, E.O., sci.; Tanquary, Maurice, zoologist and biologist.; Green, Fitzhugh, sci. engineer and physicist; Ekblow, W. E. geologist and botanist, Allen, Jerome, sci.. Hunt, Harrison J., bacteriologist and surgeon.",,AMNH; American Geographical Society; University of Illinois,,AMNH Library Vertical File.  photos taken,"AMNH Ann. Repts.: No. 44 for 1912, PP. 17, 64,No. 45, for 1913, p. 22;, 49;  P.C. 2 Authority File; American Museum Journal, March 1912, 83-88, April, p. 150, May 159-163 , Feb. 1913, PP. 55-61, March , p. 148, May, pp. 179-182 and 238, Oct. p. 263-265 ; 1914.  May,  pp. 209-212, Dec, pp309-310; 1915, Dec, pp. 415-416;  1916, Feb. 135-6, May, pp. 291-294 333, ; 1916: Nov. p. 475  1917 Oct. p. 365, Nov. p. 500; 1918, pp. 161-192; Natural History, XIX, 3, March 1919, pp. 273-291; AMNH Natural History, Feb. 1916,121-123, May 1917, P346, 1924, Nov-Dec  pp. 704-9; 1928, Sept.-Oct.pp 463-475.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000118,Roosevelt South American Expedition (also includes Miller and Roosevelt-Rondon Expedition in 1913-1914.),Roosevelt South American Expeditions (1913-1917),,,1913 ,-1917,,"Brazil, Paraguay, Colombia, Bolivia, Peru, Panama","To make an ornithological, anthropological and zoological survey of the Andean region of South America and to collect zoological specimens","Roosevelt, Theodore, leader; Miller, Leo E., sci.; Cherrie, George K., sci.; Boyle, Howarth, sci.",Various Departments.,"Roosevelt, Theodore; Dodge, Cleveland H.",,AMNH Library Vertical File.      Photos taken.     See also Miller Colombian Expedition  1914-1915.                ,"P.C. 2 Authority File; AR, No. 45, 1913, pp. 25, 54; No. 46, 1914, p. 25; No. 47, 1915, p. 20; No. 48, 1916, pp. 39, 40, 79, 80, No. 49 for 1917,  pp. 80, 82;  American Museum Journal, Oct. 1913, pp. 283-285; Dec., 1913, pp. 351-361;  April 1914, pp. 145-156;  May 1914 pp. 213; 214;   Feb. 1915, pp. 35-65; Roosevelt, Through the Brazilian Wilderness, New York, Scribner's, 1914.  Allen, J.A..  ""Mammals collected on the Roosevelt Brazilian  Expedition"" Bulletin of the AMNH, Vol. XXXV, Art. XXX pp. 559-610.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000119,Expedition to Eastern Panama,,,,1914,1915,February-March.,Eastern Panama,"To study and collect the fauna of this region, specifically mammals and birds.","Richardson, William B., leader; Anthony,  Harold Elmer, sci.; Ball, David S.,  sci.",Dept. of Mammals and Birds.,The Jesup Fund.,,AMNH Library Vertical File.,"AMNH Annual Report No. 46, 1914, p. 28, #47, for 1915,  p. 70; AM Journal, May 1915, p. 259-260.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000120,Shiras Expedition to Panama,Shiras Expedition to Panama (1914),,,1914,,,"Gatun Lake Region, Panama",To collect and photograph mammals  of Panama,"Shiras, George, leader; Anthony, H.E., sci.; Shiras, George, photog.",Dept. of Mammals and Birds.,"Shiras III, Hon. George",,AMNH Library Vertical File.,"AMNH Annual Report No. 46, 1914, p. 27; American Museum Journal, XIV, 2, Feb. 1914, p. 78; XIV, 6-7, Oct-Nov. 1914, pp. 239-247; P.C. 2 Authority File",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000121,Biological Expedition to Puerto Rico,Biological Expedition to Puerto Rico (1914),,,1914,,,"Puerto Rico, Florida",To make a biological survey of Puerto Rico and collect entomological specimens in Florida,"Crampton H.E., leader; Lutz, F.E., sci.; Miner, Roy W., sci.; Watson, F.F., sci for the for the biological survey work in Puerto Rico.;  and Nichols, sci.; Mutchler, Andrew J., sci. for the entomological collectingin Florida..",Dept. of Invetebrate Zoology.,In Puerto Rico In cooperation with and under the auspices of the New York Academy of Sciences,,AMNH Library Vertical File.,"AMNH Annual Report No. 46, 1914, p. 27, 60-61, 62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000122,Miller Colombian Expedition,,,,1914 ,-1915,,"Barranquilla, Puerto Berrio, Medellin; Panama, Chile, Boliva, Colombia; Argentina; Brazil",To collect mammals and explore regions,"Miller, Leo E., leader; Boyle, Howarth, sci.;",,"Roosevelt, Theodore; AMNH",,AMNH Library Vertical File.  photos taken.  See also Roosevelt South American Expeditions of 1913-1917.,"American Museum Journal, XIV, 6-7, Oct-Nov. 1914, p. 239; XVII, 1, Jan. 1917, p. 79; P.C. 2 Authority File (""Miller-Roosevelt Expedition"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000123,Vertebrate Palaeontology Expedition,,,,1914 ,-1915,,"Red Deer River, Alberta, Canada",To collect fossils and skeletons in Cretaceous Dinosaur beds,"Brown, Barnum, leader",Vertebrate Palaeontology Department,,,AMNH Library Vertical File.,"AMNH Annual Report No. 46, 1914, pp. 70-71; No. 47, 1915, p. 72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000124,Devilfish Expedition,Devilfish Expedition (1914),,,1914,Summer ,,West Coast of Florida,To capture a devilfish,"Coles, Russell G., an amateur Ichtyologist from Danville, VT., leader; Nichols, Assistant Curator.",Dept. of Ichtyology and Herpetology.,,,AMNH Library Vertical File.,"AMNH Annual Report No. 46, for 1914, p. 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000125,Collins-Day Expedition to South America,Collins-Day Expedition to South America (1915),,,1914,1915,"Starting in December, 1914, and continuing in 1915.","Starting from the West Coast of South America, through Bolivia anf down the Amazon Amazon River, Venezuela(?)",To collect zoological specimens,"Collins, Alfred M., leader; Day, Lee Garnett, leader; Cherrie George K., sci. from the Museum, and Becker, Robert H. from the Field Museum, Chiago.",Dept. of Mammalogy and Ornithology.,Organized and financed by Messrs. Collins and Day.,,AMNH Library Vertical File. photos taken,"AR, No. 46, 1914, p. 26; No. 47, 1915, p. 21; AMJ XV, Jan p. 29, and Oct., P 29. , AMJ, XVI, 1, Jan. 1916, pp. 23-44; P.C. 2 Authority File; Cherrie, ""Two New Birds from Venezuela:  New Birds from the Collection of the Collins-Day Expedition to South America."" Bulletin of the AMNH, Vol. XXV, pp. 389-397.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000126,Eastern Panama Expedition,Expeditions to Eastern Panama (1914-1915),,,1915,,,Tacarcuna region (Panama),To collect mammals and birds,"Anthony, H.E., leader; Ball, David, leader",Dept. of Mammalogy and Ornithology..,,,AMNH Library Vertical File.,"AMNH Annual Report No. 47, 1915, p. 24; American Museum Journal, XV, 2, Feb. 1915, p. 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000127,Santo Domingo Expedition,Santo Domingo Expedition (1915),,,1915,,May and June.,"Sanchez, Santo Domingo","To collect insects, especially the sphingid moth, and reptiles.","Watson, F.E., leader; Halter, Clarence, sci.",Dept. of Ichthyology and Herpetology.,"Clark, B. Preston financed the expedition, and it was accomplished facilitated by the cooperation of the officers of the Ferro-carril de Samaná y Santiago.",,AMNH Library Vertical File.  Photos taken,"AMNH Annual Report No.47, 1915, p. 24, 65; P.C. 2 Authority File.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000128,Puerto Rico Survey,Crampton Antilles Expeditions.,,,1915 ,-1916,"Planned by Dr. Nathaniel Britton, Director of the NY Botanical Gdn. In 1914.","Antilles, including Puerto Rico.","To make palaeontological and stratigraphic studies and collect rocks and fossils, and marine fauna, and Geological history.","Crampton, Henry E., leader, Reeds, Chester A., leader; Hill, P.B., leader; Miner, Roy W., leader; Lutz, Frank E., leader; Mutchler, Andrew J., leader; Anthony, H.E., leader, Spinden, Herbert J., leader.","Dept. of Geology and Invertebrate Palaeontology, and the Dept. of Mammalogy.","New York Academy of Sciences; New York Botanical Garden; Columbia University; AMNH, in cooperation with the government/",,AMNH Library Vertical File.  Photos taken.,"AMNH Annual Report No. 47, 1915, p. 54-55, 60; No. 48, 1916, p. 31, 78; AMJ, XVI, 1, Jan 1916, pp. 59-70; Rotunda Magazine of the AMNH, Dec., 1997, pp. 1,3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000129,Hovey West Indies Expedition,,,, 1915,February-April.,,"Lesser Antilles, West Indies, (Martinique, St. Vincent, Dominica, Guadeloupe)","To observe changes in the volcanoes of Soufriere in St. Vincent, Mt. Pelee in Martinique, during the past 7 years, and to take photographs.","Hovey, E.O., leader",Dept. of Geology and Invertebrate Palaeontology.,"Sachs, Mr & Mrs. Paul G.(Angelo Heilprin Exploration Fund)",,AMNH Library Vertical File.. Photos taken.    ,"AMNH Annual Report No. 47, 1915, p. 24, 54; American M.J., XV, 2, Feb. 1915, p. 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
